Name,Url,Pos
Alex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,2
Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,4
Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,5
Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,5
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,2
LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,5
Jarrett Allen,https://www.basketball-reference.com/players/a/allenja01.html,5
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,4
Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html,3
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,4
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,4
Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html,4
OG Anunoby,https://www.basketball-reference.com/players/a/anunoog01.html,3
Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html,3
D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,1
Dwayne Bacon,https://www.basketball-reference.com/players/b/bacondw01.html,2
Wade Baldwin,https://www.basketball-reference.com/players/b/baldwwa01.html,1
Lonzo Ball,https://www.basketball-reference.com/players/b/balllo01.html,1
J.J. Barea,https://www.basketball-reference.com/players/b/bareajo01.html,1
Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,4
Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html,2
Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,2
Aron Baynes,https://www.basketball-reference.com/players/b/baynear01.html,5
Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html,2
Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html,2
Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html,2
Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html,4
Marco Belinelli,https://www.basketball-reference.com/players/b/belinma01.html,2
Jordan Bell,https://www.basketball-reference.com/players/b/belljo01.html,5
Dragan Bender,https://www.basketball-reference.com/players/b/bendedr01.html,4
Davis Bertans,https://www.basketball-reference.com/players/b/bertada01.html,4
Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html,5
Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html,4
Tarik Black,https://www.basketball-reference.com/players/b/blackta01.html,5
Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html,1
Bogdan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo01.html,2
Bojan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo02.html,3
Joel Bolomboy,https://www.basketball-reference.com/players/b/bolomjo01.html,4
Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,2
Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html,4
Tony Bradley,https://www.basketball-reference.com/players/b/bradlto01.html,5
Dillon Brooks,https://www.basketball-reference.com/players/b/brookdi01.html,3
MarShon Brooks,https://www.basketball-reference.com/players/b/brookma01.html,2
Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html,2
Sterling Brown,https://www.basketball-reference.com/players/b/brownst02.html,2
Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,3
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,2
Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,2
Jose Calderon,https://www.basketball-reference.com/players/c/caldejo01.html,1
Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html,2
Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html,5
DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,3
Vince Carter,https://www.basketball-reference.com/players/c/cartevi01.html,3
Michael Carter-Williams,https://www.basketball-reference.com/players/c/cartemi01.html,1
Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,3
Willie Cauley-Stein,https://www.basketball-reference.com/players/c/caulewi01.html,5
Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html,1
Wilson Chandler,https://www.basketball-reference.com/players/c/chandwi01.html,3
Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html,4
Ian Clark,https://www.basketball-reference.com/players/c/clarkia01.html,2
Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html,2
Gian Clavell,https://www.basketball-reference.com/players/c/clavegi01.html,2
John Collins,https://www.basketball-reference.com/players/c/collijo01.html,4
